Uber,eng.uber.com
Airbnb,medium.com/airbnb-engineering
Lyft,eng.lyft.com
Pinterest,medium.com/pinterest-engineering
Netflix,netflixtechblog.com
Twitter,blog.twitter.com/engineering
Facebook,engineering.fb.com
GitHub,github.blog
AWS,aws.amazon.com/blogs/aws
Baidu Research,research.baidu.com/Blog
Databricks,databricks.com/blog
Cloudflare,blog.cloudflare.com
Dropbox,dropbox.tech
Google Reasearch,ai.googleblog.com
HashiCorp,www.hashicorp.com/blog
Instacart,tech.instacart.com
LinkedIn,engineering.linkedin.com
Nvidia,blogs.nvidia.com/blog
Red Hat,developers.redhat.com/articles
Shopify,shopify.engineering
Slack,slack.engineering
Stack Overflow,stackoverflow.blog
Salesforce,engineering.salesforce.com
